,u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
277,1.8179599999999996,0.8891500000000008,0.4346899999999998,0.2760200000000008,0.5818354,2.299234,2.367997,2.39047,2.392688,2.365896,2.379707,2.514489,2.204697,8.805241,8.049266,6.891502,merger
278,2.501980000000003,1.190789999999998,0.6128700000000009,0.4663699999999995,0.6937991,2.309783,2.533938,2.602106,2.615345,2.520758,3.04409,6.219137,5.018762,5.204703,18.86175,15.37998,merger
279,1.200840000000003,0.5145599999999995,0.3084500000000005,0.1932199999999984,0.9002025,2.190436,2.301276,2.440513,2.486873,2.511316,5.562952,4.590205,4.140834,10.77225,9.833066,9.06645,spiral
280,1.7665400000000029,0.7634599999999985,0.3479799999999997,0.2927100000000013,0.6658049,2.371406,2.396375,2.422941,2.433681,2.405779,3.233268,2.502884,2.281367,9.838123,8.103168,7.5302,elliptical
281,2.1032100000000007,1.02013,0.5331900000000012,0.3220999999999989,0.8838995,2.267898,0.5761667,2.379414,2.400362,2.405661,4.471799,8.033606,6.056642,8.617963,26.15659,21.31265,elliptical
282,1.1213800000000005,0.5766200000000001,0.2984600000000004,0.4446200000000004,0.9276754,2.172639,2.350936,2.6806,2.570827,2.441666,10.14086,15.29753,39.35024,112.4939,83.93767,95.71095,spiral
283,1.4272600000000004,0.6664999999999992,0.3842700000000008,0.2454900000000002,0.681712,2.348772,2.433002,2.513169,2.503362,2.46109,8.025586,5.814789,5.753867,18.51816,14.22017,15.07837,spiral
284,1.3689999999999998,0.6365799999999986,0.3420100000000001,0.2370499999999999,0.8872699,2.359705,2.442568,2.500193,2.502363,2.489008,5.525061,5.009255,4.813029,10.698,11.26511,11.86027,spiral
285,0.7950599999999994,0.3586999999999989,0.4005499999999991,0.0623700000000013,0.4762624,2.268119,2.2495,2.275955,2.280924,2.2568,1.047955,1.528692,1.485382,2.941975,4.442557,4.152432,merger
286,0.8031699999999979,0.7788700000000013,0.4829499999999989,0.4752100000000006,0.311818,2.133669,2.162995,2.17814,2.206027,2.240558,5.450073,4.522652,5.445696,10.12493,9.175313,11.5894,spiral
287,1.673129999999999,0.7430500000000002,0.3877800000000011,0.3024799999999992,0.6270233,2.241844,2.636122,2.623136,2.590589,2.572999,11.94888,9.192789,8.817155,27.47538,21.37613,21.84354,spiral
288,2.070890000000002,1.0000399999999985,0.4319400000000009,0.3618299999999994,0.9074105,2.269446,2.419222,2.430184,2.447101,2.437126,2.939613,3.942823,4.029508,15.71741,13.1209,13.0418,elliptical
289,1.582279999999999,0.6953899999999997,0.3414599999999996,0.3040500000000001,0.7094163,2.270891,2.43016,2.500453,2.54701,2.504562,5.834299,4.03724,3.613708,14.97351,12.93871,11.82767,spiral
290,1.4877399999999987,0.6372800000000005,0.3411200000000001,0.2263999999999981,0.6500981,1.973924,2.062116,2.239916,2.267787,2.403844,4.762932,3.74895,3.559061,10.32109,7.009685,6.872913,spiral
291,1.604429999999999,0.7287800000000004,0.4032300000000006,0.2517899999999997,0.7865174,2.032104,2.272189,2.422859,2.470503,2.547166,5.454755,5.187619,4.945479,9.772322,10.26835,10.54704,spiral
292,1.785590000000003,0.8000999999999987,0.380980000000001,0.2665600000000001,0.5152364,2.29487,2.337226,2.333861,2.336294,2.319944,2.18998,1.882676,1.724162,6.613223,5.618581,5.155616,merger
